iter	Passed	Remaining
671	13164	6425
672	13185	6406
673	13204	6386
674	13224	6367
675	13244	6347
676	13263	6328
677	13285	6309
678	13303	6289
679	13319	6268
680	13336	6247
681	13352	6226
682	13370	6205
683	13388	6185
684	13405	6164
685	13421	6143
686	13437	6122
687	13455	6102
688	13475	6082
689	13493	6062
690	13510	6041
691	13526	6020
692	13543	5999
693	13559	5978
694	13576	5958
695	13593	5937
696	13609	5916
697	13625	5895
698	13642	5874
699	13658	5853
700	13675	5833
701	13692	5812
702	13709	5791
703	13726	5771
704	13742	5750
705	13759	5729
706	13776	5709
707	13793	5688
708	13809	5668
709	13826	5647
710	13843	5626
711	13860	5606
712	13877	5586
713	13895	5565
714	13913	5545
715	13929	5525
716	13947	5505
717	13964	5484
